date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,fire_count,fire_frp_sum,fire_frp_mean
2018-05-17,9.94,1,8.129166666666666,11.4,6.2,5.641666666666667,84.875,94.0,68.0,0.0,,23.916666666666668,33.0,89.4425,10.8875,2.4,73.0,275.24,3.77041095890411
2018-05-18,4.56,1,9.266666666666667,13.6,5.8,2.3125,65.25,95.0,38.0,0.0,,14.833333333333334,25.0,89.91791666666667,25.754166666666663,3.6,124.0,646.65,5.21491935483871
2018-05-19,4.14,1,10.8875,16.1,3.8,2.4916666666666667,57.16666666666666,77.0,41.0,0.0,,27.08333333333333,42.0,89.43416666666667,48.958333333333336,24.1,300.0,4443.01,14.810033333333335
2018-05-20,4.84,1,14.675,24.1,4.2,3.5625,54.333333333333336,92.0,20.0,0.0,,15.0,27.0,88.575,41.24166666666667,24.1,802.0,20336.75,25.357543640897756
2018-05-21,3.8,1,17.466666666666665,23.0,10.4,3.4291666666666667,39.958333333333336,58.0,25.0,0.0,,11.916666666666666,21.0,88.78666666666668,46.60833333333333,24.1,947.0,15454.27,16.31918690601901
2018-05-22,9.13,1,18.654166666666665,25.5,10.1,4.670833333333333,42.5,71.0,23.0,0.0,,11.958333333333334,21.0,89.01625,43.5875,24.1,1596.0,29402.28,18.422481203007518
2018-05-23,9.51,1,19.42083333333333,26.1,10.1,4.354166666666667,39.66666666666666,70.0,22.0,0.0,,9.25,21.0,88.66125,37.88333333333333,24.1,2524.0,53100.79,21.038347860538828
2018-05-24,11.4,1,20.75,26.8,13.3,4.2875000000000005,35.791666666666664,59.0,20.0,0.0,,16.916666666666668,33.0,88.32541666666667,37.54583333333333,24.1,1733.0,31172.27,17.98746105020196
2018-05-25,9.96,1,20.079166666666666,27.2,11.0,4.579166666666667,39.125,70.0,22.0,0.0,,8.083333333333334,18.0,88.44916666666667,45.60416666666666,24.1,899.0,16570.7,18.432369299221357
2018-05-26,7.06,1,17.979166666666668,23.1,13.0,4.5,42.208333333333336,67.0,19.0,0.0,,18.75,38.0,88.41583333333334,43.92916666666667,16.1,437.0,6082.09,13.917826086956522
2018-05-27,7.13,1,17.804166666666667,24.9,9.0,3.1041666666666665,40.708333333333336,76.0,22.0,0.0,,14.5,24.0,89.105,37.21666666666667,24.1,417.0,3677.23,8.818297362110313
2018-05-28,7.71,1,21.4375,28.6,11.8,1.6916666666666669,31.625,64.0,12.0,0.0,,13.5,33.0,88.63208333333334,46.6125,24.1,876.0,22866.81,26.103664383561647
2018-05-29,5.55,1,11.579166666666666,15.4,8.8,1.65,50.91666666666666,64.0,40.0,0.0,,20.291666666666668,45.0,88.85416666666667,23.10833333333333,16.1,772.0,8398.78,10.879248704663214
2018-06-01,5.44,1,9.783333333333331,15.2,6.1,6.320833333333333,80.91666666666667,96.0,50.0,0.0,,8.208333333333334,19.0,88.855,25.85833333333333,1.6,70.0,340.91,4.8701428571428576
2018-06-02,3.89,1,14.108333333333334,21.0,4.2,0.8333333333333334,48.41666666666666,94.0,19.0,0.0,,16.583333333333332,31.0,89.27958333333333,52.650000000000006,16.1,76.0,365.26,4.806052631578948
2018-06-03,5.71,1,15.6625,23.0,6.6,4.329166666666667,50.208333333333336,80.0,29.0,0.0,,16.75,29.0,88.96749999999999,48.958333333333336,24.1,119.0,340.28,2.8594957983193274
2018-06-04,2.71,1,15.8625,19.4,7.5,3.3000000000000003,44.91666666666666,80.0,25.0,0.0,,17.166666666666668,34.0,88.18291666666666,47.95416666666667,16.1,103.0,750.73,7.2886407766990295
2018-06-05,3.17,1,12.704166666666666,19.8,4.8,-1.5041666666666669,43.208333333333336,82.0,17.0,0.0,,9.458333333333334,23.0,88.62583333333333,52.31666666666667,24.1,84.0,616.82,7.343095238095239
2018-06-06,8.02,1,17.029166666666665,23.4,8.5,-1.0,30.08333333333333,46.0,21.0,0.0,,10.583333333333334,21.0,88.62708333333335,45.94166666666667,24.1,158.0,1252.63,7.928037974683545
2018-06-07,11.9,1,19.1375,25.7,10.4,1.0083333333333333,31.33333333333333,49.0,18.0,0.0,,10.333333333333334,20.0,88.59125,21.787500000000005,16.1,218.0,1644.66,7.544311926605505
2018-06-08,9.68,1,21.14583333333333,26.5,13.7,1.4666666666666668,29.166666666666668,54.0,16.0,0.0,,12.958333333333334,28.0,88.56875000000001,35.541666666666664,24.1,109.0,394.73,3.621376146788991
2018-06-09,6.1,1,19.104166666666668,25.0,13.2,4.675,39.75,72.0,24.0,0.0,,18.58333333333333,36.0,87.98291666666667,37.8875,24.1,104.0,186.1,1.7894230769230768
2018-06-10,2.64,1,9.15,12.5,5.8,5.383333333333333,77.66666666666667,89.0,59.0,0.0,,17.5,36.0,87.81625000000001,23.070833333333336,6.4,53.0,194.26,3.665283018867924
2018-06-11,0.732,1,11.529166666666669,16.6,5.6,-3.9375,38.54166666666666,87.0,18.0,0.0,,26.5,48.0,88.07416666666667,51.30833333333334,16.1,142.0,4792.31,33.74866197183099
2018-06-12,1.49,1,14.895833333333334,19.5,9.3,-6.295833333333333,23.20833333333333,32.0,15.0,0.0,,26.20833333333333,41.0,88.48291666666667,49.97083333333334,16.1,103.0,473.61999999999995,4.598252427184465
2018-06-13,2.73,1,16.5625,21.9,11.4,-0.4375,31.916666666666668,49.0,24.0,0.0,,15.25,27.0,88.165,46.275000000000006,16.1,61.0,399.40999999999997,6.547704918032786
2018-06-14,2.12,1,10.7875,13.4,8.6,5.604166666666667,70.58333333333333,82.0,46.0,0.0,,16.791666666666668,27.0,88.38791666666667,33.19166666666667,24.1,149.0,1622.28,10.88778523489933
2018-06-15,3.88,1,12.083333333333334,16.9,5.9,5.4750000000000005,65.25,87.0,42.0,0.0,,10.75,29.0,88.73708333333333,41.575,16.1,187.0,908.38,4.857647058823529
2018-06-16,4.17,1,11.379166666666668,15.6,9.4,7.391666666666667,76.79166666666667,86.0,58.0,0.0,,18.916666666666668,31.0,89.33208333333333,22.90833333333333,9.7,156.0,1589.87,10.191474358974359
2018-06-17,6.75,1,14.470833333333331,21.3,5.9,5.129166666666667,56.75,89.0,34.0,0.0,,9.375,22.0,89.42416666666666,51.645833333333336,24.1,214.0,2644.89,12.35929906542056
2018-06-18,6.44,1,16.275000000000002,21.3,9.3,6.4125000000000005,53.29166666666666,79.0,39.0,0.0,,9.25,16.0,89.55624999999999,47.62083333333334,24.1,318.0,2840.03,8.930911949685536
