date,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km
2018-04-01,-10.683333333333332,-7.3,-14.5,-15.258333333333333,69.79166666666667,80.0,57.0,0.0,,8.875,18.0,88.69375000000001,27.691666666666666,4.8
2018-04-02,-8.945833333333335,-5.4,-11.3,-15.908333333333333,58.0,72.0,42.0,0.0,,10.625,16.0,88.70916666666666,30.641666666666666,11.3
2018-04-03,-9.141666666666667,-4.4,-14.5,-14.341666666666667,66.95833333333333,81.0,52.0,0.0,,8.708333333333334,19.0,88.79,18.51666666666667,9.7
2018-04-04,-7.916666666666667,-1.6,-11.7,-12.404166666666667,71.04166666666667,82.0,50.0,0.0,,17.75,40.0,88.89999999999999,11.866666666666667,4.8
2018-04-05,-9.975,-6.7,-13.3,-16.541666666666668,60.458333333333336,82.0,42.0,0.0,,16.041666666666668,25.0,89.83333333333333,24.712500000000002,2.8
2018-04-06,-12.604166666666666,-10.4,-15.6,-16.054166666666667,76.0,83.0,65.0,0.0,,25.375,40.0,89.49125,8.683333333333334,2.0
2018-04-07,-11.3375,-9.1,-14.1,-13.733333333333334,82.70833333333333,86.0,73.0,0.0,,14.583333333333334,22.0,88.29625,5.391666666666667,1.2
2018-04-08,-7.020833333333333,-4.8,-9.3,-9.729166666666666,81.125,87.0,75.0,0.0,,11.333333333333334,17.0,88.40458333333333,13.416666666666666,2.0
2018-04-09,0.4749999999999999,5.6,-4.9,-4.758333333333334,69.04166666666667,83.0,55.0,0.0,,8.0,21.0,89.0475,18.245833333333334,8.1
2018-04-10,3.358333333333333,8.9,-2.5,-3.6999999999999997,61.583333333333336,87.0,43.0,0.0,,9.333333333333334,17.0,88.52541666666667,28.349999999999998,9.7
2018-04-11,1.3041666666666667,7.4,-4.4,-2.8083333333333336,76.16666666666667,96.0,47.0,0.0,,12.875,19.0,88.085,21.36666666666667,0.6
2018-04-12,-3.0500000000000003,-2.3,-3.7,-4.2,91.875,96.0,86.0,0.0,,17.791666666666668,22.0,88.21375,1.7583333333333335,0.4
2018-04-13,1.1083333333333332,7.2,-3.5,-2.920833333333333,76.0,93.0,55.0,0.0,,13.583333333333334,24.0,88.87708333333335,20.858333333333334,2.4
2018-04-14,3.704166666666667,9.9,-1.1,-3.475,61.416666666666664,80.0,31.0,0.0,,8.375,31.0,88.80541666666666,45.25833333333333,24.1
2018-04-15,2.7291666666666665,8.2,-0.9,-2.629166666666667,69.125,83.0,47.0,0.0,,13.208333333333334,29.0,88.48458333333333,43.583333333333336,16.1
2018-04-16,0.10416666666666669,1.3,-1.3,-2.154166666666667,85.08333333333333,93.0,76.0,0.0,,19.5,32.0,87.97541666666666,12.679166666666667,0.6
2018-04-17,0.10416666666666664,3.5,-3.7,-2.5833333333333335,82.875,96.0,67.0,0.0,,7.666666666666667,17.0,88.10291666666666,11.662500000000001,0.2
2018-04-18,3.2375000000000003,8.1,-3.5,-5.904166666666666,54.0,86.0,32.0,0.0,,13.708333333333334,24.0,89.31916666666666,44.59166666666667,24.1
2018-04-19,4.1125,9.5,-3.0,-3.7083333333333335,58.208333333333336,75.0,39.0,0.0,,10.0,26.0,89.32666666666667,47.612500000000004,24.1
2018-04-20,7.133333333333333,12.9,-0.1,-5.170833333333333,43.916666666666664,69.0,25.0,0.0,,13.458333333333334,28.0,89.08291666666666,45.93333333333334,24.1
2018-04-21,7.779166666666666,13.7,3.1,-4.804166666666666,43.208333333333336,67.0,20.0,0.0,,18.625,40.0,88.50458333333334,44.59166666666667,24.1
2018-04-22,6.154166666666666,11.1,1.6,-8.654166666666667,35.666666666666664,62.0,19.0,0.0,,16.333333333333332,30.0,89.45625,46.604166666666664,24.1
2018-04-23,6.941666666666666,13.2,0.2,-4.9875,44.208333333333336,66.0,29.0,0.0,,14.875,26.0,90.09166666666665,47.612500000000004,24.1
2018-04-24,12.0,20.0,1.4,-10.083333333333334,27.416666666666668,61.0,8.0,0.0,,9.791666666666666,17.0,89.57666666666667,47.275000000000006,24.1
2018-04-25,9.533333333333333,14.6,5.0,-4.041666666666667,40.083333333333336,64.0,23.0,0.0,,18.291666666666668,36.0,89.39125,32.8375,24.1
2018-04-26,12.908333333333333,20.6,3.1,-2.45,37.375,59.0,19.0,0.0,,7.791666666666667,17.0,89.40416666666665,43.24583333333334,24.1
2018-04-27,13.783333333333333,22.3,3.9,0.18333333333333335,43.625,74.0,21.0,0.0,,20.166666666666668,39.0,88.89125,41.90416666666667,16.1
2018-04-28,16.891666666666666,25.6,4.7,-2.8125,31.291666666666668,62.0,10.0,0.0,,10.041666666666666,26.0,87.80416666666667,35.525,24.1
2018-04-29,7.158333333333334,17.1,2.4,1.7791666666666668,72.29166666666667,90.0,27.0,0.0,,26.208333333333332,45.0,88.42041666666667,16.166666666666668,8.1
2018-04-30,6.9875,13.4,2.0,1.4541666666666666,70.20833333333333,92.0,40.0,0.0,,8.208333333333334,14.0,88.61166666666666,24.908333333333335,4.0
2018-05-01,8.558333333333334,11.7,5.6,-1.758333333333333,49.791666666666664,77.0,32.0,0.0,,19.083333333333332,36.0,88.59416666666665,28.629166666666666,11.3
2018-05-02,11.5625,19.5,0.2,-3.4333333333333336,40.916666666666664,82.0,19.0,0.0,,15.0,32.0,88.47208333333333,48.28333333333334,24.1
2018-05-03,14.174999999999999,21.8,4.8,-2.9958333333333336,33.833333333333336,62.0,17.0,0.0,,16.5,36.0,88.82,46.94166666666667,24.1
2018-05-04,15.141666666666666,21.1,7.6,0.4041666666666666,39.0,68.0,21.0,0.0,,13.708333333333334,24.0,89.06166666666667,48.95416666666667,24.1
2018-05-05,13.666666666666666,20.2,6.6,2.733333333333333,50.666666666666664,79.0,29.0,0.0,,7.125,19.0,89.40583333333335,51.304166666666674,24.1
2018-05-06,16.034782608695654,23.4,6.8,1.3956521739130436,39.78260869565217,67.0,23.0,0.0,,6.695652173913044,14.0,89.16217391304347,52.48695652173913,24.1
2018-05-07,17.45,22.8,10.3,0.6583333333333333,33.291666666666664,52.0,21.0,0.0,,13.666666666666666,27.0,89.13375,38.22083333333334,16.1
2018-05-08,17.087500000000002,21.5,12.9,2.525,38.5,56.0,24.0,0.0,,18.958333333333332,41.0,89.12124999999999,46.275000000000006,16.1
2018-05-09,7.454166666666667,12.8,4.8,1.2166666666666666,66.0,85.0,44.0,0.0,,16.833333333333332,27.0,89.24833333333333,25.075000000000003,8.1
2018-05-10,5.854166666666667,9.7,2.5,2.8541666666666665,81.5,94.0,69.0,0.0,,11.166666666666666,24.0,88.77625,12.204166666666667,4.8
2018-05-11,9.1625,15.8,3.5,2.2708333333333335,65.91666666666667,94.0,35.0,0.0,,16.375,30.0,89.29291666666667,26.120833333333334,2.4
2018-05-12,14.566666666666668,21.7,4.4,0.7416666666666667,43.0,76.0,22.0,0.0,,8.625,19.0,89.18624999999999,52.98333333333334,24.1
2018-05-13,17.0375,22.8,8.4,0.22916666666666666,33.75,59.0,19.0,0.0,,17.375,30.0,89.185,48.958333333333336,24.1
