date,fire_count,fire_frp_sum,fire_frp_mean,fire_nearest_km,fire_mean_km,fire_frp_dist_weighted_sum,fire_smoke_transport_index,upwind_fire_count,upwind_fire_frp_sum,upwind_fire_nearest_km
2018-04-01,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-02,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-03,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-04,10.0,56.870000000000005,5.687,192.53906415972702,318.4990538194244,0.18073673730478024,0.0,0.0,0.0,399.5941996428686
2018-04-05,2.0,10.43,5.215,298.23032546747885,302.8419037845754,0.03444439220606714,0.00010303756294925359,2.0,10.43,298.23032546747885
2018-04-06,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-07,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-08,2.0,9.27,4.635,343.4291265909159,343.61465672416546,0.026897196716684234,0.0,0.0,0.0,399.5941996428686
2018-04-09,1.0,0.61,0.61,399.8433947969414,399.8433947969414,0.001521791322790819,0.0,0.0,0.0,399.5941996428686
2018-04-10,3.0,4.96,1.6533333333333333,255.41823053567737,291.3035936997016,0.01632528172629725,0.0,0.0,0.0,399.5941996428686
2018-04-11,4.0,7.0200000000000005,1.7550000000000001,176.9051440020126,330.0548813637846,0.026599091539110536,3.2832016513026228e-06,2.0,0.6,399.3310589407876
2018-04-12,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-13,1.0,1.83,1.83,304.6363337437006,304.6363337437006,0.005987508021656204,5.023746406880198e-06,0.0,0.0,399.5941996428686
2018-04-14,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-15,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-16,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-17,1.0,5.14,5.14,160.56397474799155,160.56397474799155,0.031814022946745416,0.0,0.0,0.0,399.5941996428686
2018-04-18,11.0,13.1,1.190909090909091,74.11807086466986,249.54812569533823,0.06068093848355608,4.231774411926427e-05,0.0,0.0,399.5941996428686
2018-04-19,16.0,72.95,4.559375,133.67862989461713,304.13697236797015,0.2422706861617677,0.0002405397883248922,1.0,5.58,155.5322476797863
2018-04-20,4.0,30.409999999999997,7.602499999999999,254.07536734048622,286.17278705347684,0.1091446514705671,0.0,0.0,0.0,399.5941996428686
2018-04-21,1.0,0.86,0.86,318.1017068569848,318.1017068569848,0.002695065496423168,0.0,0.0,0.0,399.5941996428686
2018-04-22,12.0,22.34,1.8616666666666666,74.26459370074782,216.38092951848543,0.12212157249886782,0.00032460318963813345,5.0,9.54,74.26459370074782
2018-04-23,11.0,40.56,3.6872727272727275,74.42487643459,280.98129424351066,0.14417759207892059,9.867476045092441e-05,1.0,2.01,285.6318217548252
2018-04-24,6.0,17.59,2.9316666666666666,74.16183911776623,263.89798137419734,0.06340430881583768,0.00016072447129828035,2.0,10.0,347.4732148840075
2018-04-25,7.0,21.06,3.0085714285714285,279.8722403611859,331.9039221974163,0.06439003565957521,0.0001461029463577172,3.0,13.36,318.0110076866131
2018-04-26,71.0,1196.58,16.853239436619717,43.201916397138035,258.1901070093789,5.497267949277094,0.018917797130784373,29.0,789.11,195.9177493383078
2018-04-27,122.0,1060.07,8.689098360655738,47.99645294667252,277.4321450113879,4.082798906933132,0.00020727544252920212,1.0,1.61,184.1907738989354
2018-04-28,31.0,373.13,12.036451612903226,22.79044628044793,252.22441469662948,2.073480929513446,0.009204821607151449,3.0,8.84,162.78605910377243
2018-04-29,1.0,0.52,0.52,399.05847644451603,399.05847644451603,0.0012998099793346551,9.309668015427663e-07,0.0,0.0,399.5941996428686
2018-04-30,18.0,103.57000000000001,5.7538888888888895,149.54127320636206,313.7196621998896,0.3254608897638183,0.0002698200953168342,1.0,4.04,149.54127320636206
2018-05-01,8.0,231.77,28.97125,80.11544744381771,144.6116087322181,2.8305803697311642,0.0013502066058375685,1.0,0.82,326.37993750045155
2018-05-02,19.0,209.15,11.007894736842106,33.828660257359815,236.78424197153407,1.0971028145880928,0.0028847360407766903,1.0,4.26,273.45022632610767
2018-05-03,9.0,104.32,11.591111111111111,74.2670905643423,243.43498118174634,0.43182175400717804,0.00016324143602292242,3.0,2.38,74.2670905643423
2018-05-04,6.0,39.53,6.588333333333334,86.73932719976929,299.47156137991385,0.16349703489746534,4.957388356397429e-05,1.0,0.58,326.7682453843975
2018-05-05,11.0,35.81,3.255454545454546,234.24643766093968,298.72797510628385,0.11381505686485115,0.0002173480215251413,3.0,11.77,241.08272576041065
2018-05-06,16.0,78.34,4.89625,144.87670704780962,294.88648237519436,0.24953340513144498,0.00011260892955917604,0.0,0.0,399.5941996428686
2018-05-07,17.0,159.23,9.366470588235293,87.04684844009891,224.23630824412328,1.0508338898610143,0.00011211848954162164,2.0,2.46,247.11590164333307
2018-05-08,2.0,4.4,2.2,150.4150369717385,238.8189063310855,0.024434252539297614,1.1397706971573757e-05,1.0,1.3,327.22277569043246
2018-05-09,5.0,18.26,3.652,144.87891164213255,250.6028454861731,0.0806459350847819,6.450825428632939e-05,3.0,3.09,144.87891164213255
2018-05-10,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-05-11,3.0,16.57,5.523333333333333,157.31973841205493,238.46586866528915,0.09028632664799857,0.0005091933982896613,3.0,16.57,157.31973841205493
2018-05-12,29.0,587.8100000000001,20.269310344827588,127.05444916850367,297.82182694832414,1.8626586570643207,0.0018658285915808621,2.0,5.44,197.26978159293645
2018-05-13,37.0,2455.92,66.37621621621622,54.632564839316856,300.6902323902093,7.743936178098333,0.018953009744029203,34.0,2453.04,201.81231802114664
2018-05-14,71.0,757.59,10.670281690140845,74.24360326023069,285.0126731832754,2.5834495372482893,5.04183838445058e-05,0.0,0.0,399.5941996428686
2018-05-15,56.0,754.82,13.478928571428572,74.13608508592287,265.8253995504073,2.9902766125801223,0.003250547724258183,1.0,0.36,74.13608508592287
2018-05-16,24.0,143.57999999999998,5.982499999999999,77.81638029692253,268.0149263078859,0.5262658191654379,0.0003244566867339938,5.0,12.52,77.81638029692253
2018-05-17,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-05-18,9.0,28.64,3.1822222222222223,172.52110009242233,271.4535364006311,0.11268928863909065,0.0002998917694059808,1.0,5.32,172.52110009242233
2018-05-19,7.0,8.86,1.2657142857142856,74.41409092314358,255.11149386728863,0.046640141080576875,0.0,0.0,0.0,399.5941996428686
2018-05-20,27.0,328.51,12.167037037037037,74.25892957639627,279.71176002266304,1.0920067567113887,0.0005093419127242355,0.0,0.0,399.5941996428686
2018-05-21,2.0,4.21,2.105,109.89979477607422,109.94803234144081,0.037941585730452226,0.0002489952290166636,2.0,4.21,109.89979477607422
2018-05-22,21.0,156.32999999999998,7.444285714285714,111.92352983462976,219.6824269034343,1.0220582338640736,0.0015421070556595371,0.0,0.0,399.5941996428686
2018-05-23,36.0,2340.09,65.0025,74.37177033998435,229.26689749442625,10.19684858176815,0.00016120136981686873,1.0,4.52,152.44755436868957
2018-05-24,13.0,24.9,1.9153846153846152,77.75266325944402,236.46440255175006,0.15487355529251665,0.00013345721632615734,0.0,0.0,399.5941996428686
2018-05-25,17.0,53.83,3.166470588235294,74.1970123854601,201.26023384906756,0.3032818764963926,0.0007102954701577269,4.0,30.35,74.1970123854601
2018-05-26,9.0,20.490000000000002,2.276666666666667,143.05325846728874,224.04081432855355,0.08917182536259795,0.00020486912062644345,4.0,13.44,263.2717539129326
2018-05-27,32.0,328.98,10.280625,47.43407161201448,138.3549388700829,5.000232920330448,0.08064840182624766,12.0,199.66,47.43407161201448
2018-05-28,29.0,148.35999999999999,5.115862068965517,74.2858054160603,242.01890932749822,0.6684625273438052,0.0001487473968654419,0.0,0.0,399.5941996428686
2018-05-29,4.0,5.51,1.3775,261.75384832404416,297.1132401584544,0.018405085422513585,4.597788135735715e-05,3.0,5.04,283.3248769639521
2018-05-30,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-05-31,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-06-01,2.0,15.5,7.75,45.866974621291554,107.32582091024429,0.2542597825938885,0.004340038190420253,1.0,10.55,45.866974621291554
2018-06-02,18.0,62.95,3.4972222222222222,74.29528523287497,207.22608830887737,0.5260338320176353,0.003161915529937998,1.0,0.48,74.29528523287497
2018-06-03,10.0,46.47,4.647,23.002847628678982,172.81449202223953,0.3820180145139967,0.0007192912926928016,0.0,0.0,399.5941996428686
2018-06-04,14.0,399.43,28.530714285714286,128.52915089666493,176.17901112453578,3.0042674674768564,0.01709281791071271,10.0,384.14,128.52915089666493
2018-06-05,11.0,38.68,3.516363636363636,74.15765573016415,188.15320744239864,0.2781318774659169,0.00178852866696886,5.0,29.89,74.15765573016415
2018-06-06,25.0,132.5,5.3,30.73377641174236,217.06848458525997,1.0358088323733439,0.009218508024426175,7.0,24.25,74.14725628764813
2018-06-07,26.0,467.83,17.99346153846154,78.38795807630721,224.87160740230976,2.201798449663166,0.00038833673524375767,1.0,2.85,161.1594459527977
2018-06-08,15.0,123.49,8.232666666666667,185.8698409741432,242.39915928557286,0.5547564360977146,0.0,0.0,0.0,399.5941996428686
2018-06-09,4.0,3.04,0.76,91.52956912332549,217.97451210435068,0.014129350199886535,0.0,0.0,0.0,399.5941996428686
2018-06-10,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-06-11,7.0,61.7,8.814285714285715,192.6488759918435,192.9293593576372,0.3181308455509644,0.00019774442742588204,0.0,0.0,399.5941996428686
