date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,era5_u10_mean_ms,era5_v10_mean_ms,era5_wind_speed_mean_ms,era5_wind_speed_max_ms,era5_wind_from_deg,era5_t2m_mean_c,era5_t2m_max_c,era5_t2m_min_c,era5_d2m_mean_c,era5_sp_mean_hpa,fire_count,fire_frp_sum,fire_frp_mean,fire_nearest_km,fire_mean_km,fire_frp_dist_weighted_sum,fire_smoke_transport_index,upwind_fire_count,upwind_fire_frp_sum,upwind_fire_nearest_km,z_pm25_station_count,z_wx_temp_mean_c,z_wx_temp_max_c,z_wx_temp_min_c,z_wx_dewpoint_mean_c,z_wx_rh_mean_pct,z_wx_rh_max_pct,z_wx_rh_min_pct,z_wx_precip_total_mm,z_wx_precip_max_mm,z_wx_windspd_mean_kmh,z_wx_windspd_max_kmh,z_wx_pressure_mean_kpa,z_wx_visibility_mean_km,z_wx_visibility_min_km,z_era5_u10_mean_ms,z_era5_v10_mean_ms,z_era5_wind_speed_mean_ms,z_era5_wind_speed_max_ms,z_era5_wind_from_deg,z_era5_t2m_mean_c,z_era5_t2m_max_c,z_era5_t2m_min_c,z_era5_d2m_mean_c,z_era5_sp_mean_hpa,z_fire_count,z_fire_frp_sum,z_fire_frp_mean,z_fire_nearest_km,z_fire_mean_km,z_fire_frp_dist_weighted_sum,z_fire_smoke_transport_index,z_upwind_fire_count,z_upwind_fire_frp_sum,z_upwind_fire_nearest_km
2018-04-01,9.47,1.0,-10.683333333333332,-7.3,-14.5,-15.258333333333333,69.79166666666667,80.0,57.0,0.0,,8.875,18.0,88.69375000000001,27.691666666666666,4.8,-1.2627372772083334,0.5863971689999999,1.937017512496107,3.315147897549179,114.90948277125156,-10.179504583333312,-5.33359999999999,-14.279939999999954,-17.01043708333333,889.9374179166666,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686,0.0,-1.4073728964517769,-1.4565082279580293,-1.3501878578067452,-1.287320177650602,0.61641351905058,-0.014376181779048473,0.8810363637317732,0.0,,-0.9796024990451568,-1.0623335188924767,-0.13494393745020772,-0.1342780503284794,-0.9988681313037814,-1.409041966036198,0.36026577287339956,-0.9152224549965624,-0.7755180723188333,-1.2605799382796687,-1.2716023132902745,-1.3080270414157618,-1.2885872766361564,-1.44488123155011,0.2590831822029756,-0.23167592446189753,-0.1361499175718995,-0.724318146349035,1.8527608041875194,-2.2971517463585402,-0.1415338465526313,-0.1155620946456666,-0.16543756856738404,-0.11989432867659462,0.8308143188921697
2018-04-02,10.2,1.0,-8.945833333333335,-5.4,-11.3,-15.908333333333333,58.0,72.0,42.0,0.0,,10.625,16.0,88.70916666666666,30.641666666666666,11.3,-1.02990214575,-1.0973478991666668,1.6940620655483078,2.8707165909628447,43.18401088734606,-9.516457083333307,-4.05655999999999,-12.765099999999961,-16.194687916666624,885.78514875,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686,0.0,-1.251242300968382,-1.2992098416932283,-1.0421010426085453,-1.3570572137597903,-0.1301222958961678,-0.653287526350006,0.06746985294848296,0.0,,-0.6357902019787045,-1.2799432220076197,-0.11107647726665369,0.09654819301622805,-0.2471822696329395,-1.2647215945580772,-0.7414353351627762,-1.1734920971440193,-1.0817255527132021,-2.0744313348270906,-1.2120725970306208,-1.20530867139089,-1.1389430526457434,-1.35974640010565,-0.38754505363184366,-0.23167592446189753,-0.1361499175718995,-0.724318146349035,1.8527608041875194,-2.2971517463585402,-0.1415338465526313,-0.1155620946456666,-0.16543756856738404,-0.11989432867659462,0.8308143188921697
2018-04-03,12.8,1.0,-9.141666666666667,-4.4,-14.5,-14.341666666666667,66.95833333333333,81.0,52.0,0.0,,8.708333333333334,19.0,88.79,18.51666666666667,9.7,-1.0901819887500002,1.0176709483333333,1.9333530194429465,3.765237618411732,133.0297776726644,-8.97311499999995,-0.2737799999999879,-16.11731999999995,-17.48363541666663,888.5384916666667,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686,0.0,-1.2688397541763425,-1.2164212173433329,-1.3501878578067452,-1.1889730754453365,0.43703388860401104,0.06548773629232123,0.6098475268040098,0.0,,-1.0123465273371999,-0.9535286673349053,0.014066422074275164,-0.8521867902226119,-0.43221263558268536,-1.302085411950727,0.6424550481630545,-0.9191179318067407,-0.4654120169301491,-1.054973381445358,-1.163290269893027,-0.9010417762562934,-1.470093775194094,-1.49426609394935,0.04122996103844914,-0.23167592446189753,-0.1361499175718995,-0.724318146349035,1.8527608041875194,-2.2971517463585402,-0.1415338465526313,-0.1155620946456666,-0.16543756856738404,-0.11989432867659462,0.8308143188921697
2018-04-04,19.0,1.0,-7.916666666666667,-1.6,-11.7,-12.404166666666667,71.04166666666667,82.0,50.0,0.0,,17.75,40.0,88.89999999999999,11.866666666666667,4.8,-0.8230902379166666,-0.33242669375,2.7294178532836604,5.61108555288818,68.00738182458792,-7.226130416666649,2.2601000000000226,-13.178699999999992,-12.601799999999969,887.2335195833334,10.0,56.870000000000005,5.687,192.53906415972702,318.4990538194244,0.18073673730478024,0.0,0.0,0.0,399.5941996428686,0.0,-1.1587620681520785,-0.9846130691636259,-1.08061189450832,-0.9811030639660252,0.6955515913064189,0.1453516543636909,0.5013719920329044,0.0,,0.7640170075061371,1.3313732153740958,0.18436397581652247,-1.372523915050512,-0.9988681313037814,-1.1365314405307982,-0.24093525620159925,-0.07287479404169005,0.8063535784068793,-1.7927666127463673,-1.0064425379344264,-0.6972298177909176,-1.1798007346731785,-0.9847783098112627,-0.1619918827749394,-0.1879302745271145,-0.12552519519707622,-0.018871138713661986,0.04723461317915118,0.7996584657063047,-0.13265939148461217,-0.1155620946456666,-0.16543756856738404,-0.11989432867659462,0.8308143188921697
2018-04-05,5.91,1.0,-9.975,-6.7,-13.3,-16.541666666666668,60.458333333333336,82.0,42.0,0.0,,16.041666666666668,25.0,89.83333333333333,24.712500000000002,2.8,0.06731097758333333,-2.2917823770833334,2.555740728037207,4.681377813994574,358.3176733569093,-8.79180041666666,-5.274879999999996,-12.005999999999972,-14.80683124999996,896.2262683333335,2.0,10.43,5.215,298.23032546747885,302.8419037845754,0.03444439220606714,0.00010303756294925359,2.0,10.43,298.23032546747885,0.0,-1.3437225337846854,-1.4068350533480922,-1.2346553021074202,-1.4250061207379738,0.025515912873648953,0.1453516543636909,0.06746985294848296,0.0,,0.42839071751269575,-0.3006995579894764,1.6293129166600329,-0.36738647404523894,-1.2301560887409635,-0.5846257492346973,-1.5229727618649203,-0.25749929845232006,0.1657968489172241,1.5013133004272055,-1.1470114879059625,-1.3033039139586267,-1.0639549810136755,-1.2149041517604409,1.2384388277867302,-0.22292679447494093,-0.1342013356417183,-0.07742063539097803,0.9677573049400274,0.6474218372507551,-0.1398425732922177,-0.11256593300031296,-0.1380742213827125,-0.11131909153921109,0.029866981444614672
2018-04-06,8.79,1.0,-12.604166666666666,-10.4,-15.6,-16.054166666666667,76.0,83.0,65.0,0.0,,25.375,40.0,89.49125,8.683333333333334,2.0,-2.934973408333333,2.1520207770833335,4.238035833225577,6.129121155053958,126.25011728528077,-12.048640833333309,-7.43393999999995,-15.567999999999984,-18.202358333333308,897.44393375,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686,0.0,-1.5799777034490075,-1.713152963442705,-1.4560927005311264,-1.3727033436560827,1.009465944587913,0.2252155724350606,1.3149385028161946,0.0,,2.262056301867108,1.3313732153740958,1.0997133271812283,-1.6216076013716372,-1.3226712717158364,-2.445559686242365,1.3846781357681537,1.5308358068592773,1.163273476134534,-1.1319005306082137,-1.4394170635353662,-1.4769673262134464,-1.4158289253601781,-1.5692748795736304,1.4280645019932692,-0.23167592446189753,-0.1361499175718995,-0.724318146349035,1.8527608041875194,-2.2971517463585402,-0.1415338465526313,-0.1155620946456666,-0.16543756856738404,-0.11989432867659462,0.8308143188921697
2018-04-07,7.78,1.0,-11.3375,-9.1,-14.1,-13.733333333333334,82.70833333333333,86.0,73.0,0.0,,14.583333333333334,22.0,88.29625,5.391666666666667,1.2,-2.6334775333333336,2.5129597958333334,3.6626571798158847,4.785823181832795,133.6585096734333,-10.44364916666666,-5.300759999999968,-13.00351999999998,-14.057066249999991,886.2967537499999,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686,0.0,-1.4661558784443263,-1.6055277517878408,-1.3116770059069702,-1.1237063621636603,1.434173599027582,0.4648073266491697,1.7488406419006162,0.0,,0.1418804699573187,-0.6271141126621907,-0.7503373702916055,-1.879167957646099,-1.4151864546907094,-2.258680685609647,1.6208462614591408,0.9191893474681636,0.23775837019316007,-1.0478393131229071,-1.2953177365402808,-1.305385564820182,-1.1624954911103977,-1.1366556907061955,-0.3078733788642388,-0.23167592446189753,-0.1361499175718995,-0.724318146349035,1.8527608041875194,-2.2971517463585402,-0.1415338465526313,-0.1155620946456666,-0.16543756856738404,-0.11989432867659462,0.8308143188921697
2018-04-08,11.9,1.0,-7.020833333333333,-4.8,-9.3,-9.729166666666666,81.125,87.0,75.0,0.0,,11.333333333333334,17.0,88.40458333333333,13.416666666666666,2.0,-1.14000003,-0.08735784104166666,1.5035895978282223,3.289992945133339,85.61800636314075,-7.629083333333313,-4.0584499999999935,-9.11731999999995,-9.812160416666643,881.6024754166667,2.0,9.27,4.635,343.4291265909159,343.61465672416546,0.026897196716684234,0.0,0.0,0.0,399.5941996428686,0.0,-1.0782630800731094,-1.2495366670832908,-0.8495467831096702,-0.6941083384397502,1.333932040836853,0.5446712447205394,1.8573161766717214,0.0,,-0.4966280817375213,-1.1711383704500482,-0.5826200825151258,-1.2512423295643098,-1.3226712717158364,-1.3329645931742828,-0.08058281824737576,-1.375970603779761,-0.7928495124864002,-1.592943160933155,-1.0426204479562065,-1.2054606930341802,-0.77859528826947,-0.6936404142148449,-1.03890809635526,-0.22292679447494093,-0.1344180523281047,-0.1493670507995443,1.3614182524933067,1.043860935462038,-0.14021315233585252,-0.1155620946456666,-0.16543756856738404,-0.11989432867659462,0.8308143188921697
2018-04-09,19.2,1.0,0.4749999999999999,5.6,-4.9,-4.758333333333334,69.04166666666667,83.0,55.0,0.0,,8.0,21.0,89.0475,18.245833333333334,8.1,0.08327992875,1.16536267875,1.8460385104171315,2.7589403060890065,184.08756057239674,-4.128407083333343,10.169399999999996,-11.865199999999959,-8.892411666666646,890.16102625,1.0,0.61,0.61,399.8433947969414,399.8433947969414,0.001521791322790819,0.0,0.0,0.0,399.5941996428686,0.0,-0.40469247749606424,-0.38853497384437957,-0.4259274122121452,-0.16079882511756027,0.5689306756970766,0.2252155724350606,0.7725608289606678,0.0,,-1.1515086475783831,-0.7359189642197622,0.41271751378912436,-0.8733784651059538,-0.617243001532431,-0.5747275652705575,0.7390920902688348,-1.0119361307138979,-1.1587379819724184,-0.47563319969206896,-0.7283228088286844,-0.061047392778610585,-1.050045982876676,-0.5976517721148954,0.2939054579990748,-0.22730135946841923,-0.13603595448681702,-0.6486503646262325,1.8527608041875194,1.5905807080551968,-0.14145912423043824,-0.1155620946456666,-0.16543756856738404,-0.11989432867659462,0.8308143188921697
2018-04-10,6.47,1.0,3.358333333333333,8.9,-2.5,-3.6999999999999997,61.583333333333336,87.0,43.0,0.0,,9.333333333333334,17.0,88.52541666666667,28.349999999999998,9.7,0.5038153395833334,0.8353672067083333,2.4679132894726847,3.5770063889454056,211.0944490505073,3.470229166666684,9.167320000000018,-2.0334199999999782,-4.233304583333336,888.1172725,3.0,4.96,1.6533333333333333,255.41823053567737,291.3035936997016,0.01632528172629725,0.0,0.0,0.0,399.5941996428686,0.0,-0.14559806005119746,-0.11533251348972491,-0.19486230081349515,-0.04725262529875361,0.096740177903904,0.5446712447205394,0.12170762033403563,0.0,,-0.8895564212420383,-1.1711383704500482,-0.39555079999520193,-0.0827659790735872,-0.43221263558268536,-0.31406317871069805,0.5231708180592118,-0.3508627583531001,-0.5951009241971296,-0.16919263782463606,-0.04610221388968161,-0.14164942892040833,-0.07880869805156648,-0.1114088037744412,-0.02436602893927625,-0.21855222948146263,-0.13522326691286798,-0.5192295139200186,0.5948834800001257,0.5352332574973393,-0.1407322498141195,-0.1155620946456666,-0.16543756856738404,-0.11989432867659462,0.8308143188921697
