date,era5_u10_mean_ms,era5_v10_mean_ms,era5_wind_speed_mean_ms,era5_wind_speed_max_ms,era5_wind_from_deg,era5_t2m_mean_c,era5_t2m_max_c,era5_t2m_min_c,era5_d2m_mean_c,era5_sp_mean_hpa
2018-04-01,-1.2627372772083334,0.5863971689999999,1.937017512496107,3.315147897549179,114.90948277125156,-10.179504583333312,-5.33359999999999,-14.279939999999954,-17.01043708333333,889.9374179166666
2018-04-02,-1.02990214575,-1.0973478991666668,1.6940620655483078,2.8707165909628447,43.18401088734606,-9.516457083333307,-4.05655999999999,-12.765099999999961,-16.194687916666624,885.78514875
2018-04-03,-1.0901819887500002,1.0176709483333333,1.9333530194429465,3.765237618411732,133.0297776726644,-8.97311499999995,-0.2737799999999879,-16.11731999999995,-17.48363541666663,888.5384916666667
2018-04-04,-0.8230902379166666,-0.33242669375,2.7294178532836604,5.61108555288818,68.00738182458792,-7.226130416666649,2.2601000000000226,-13.178699999999992,-12.601799999999969,887.2335195833334
2018-04-05,0.06731097758333333,-2.2917823770833334,2.555740728037207,4.681377813994574,358.3176733569093,-8.79180041666666,-5.274879999999996,-12.005999999999972,-14.80683124999996,896.2262683333335
2018-04-06,-2.934973408333333,2.1520207770833335,4.238035833225577,6.129121155053958,126.25011728528077,-12.048640833333309,-7.43393999999995,-15.567999999999984,-18.202358333333308,897.44393375
2018-04-07,-2.6334775333333336,2.5129597958333334,3.6626571798158847,4.785823181832795,133.6585096734333,-10.44364916666666,-5.300759999999968,-13.00351999999998,-14.057066249999991,886.2967537499999
2018-04-08,-1.14000003,-0.08735784104166666,1.5035895978282223,3.289992945133339,85.61800636314075,-7.629083333333313,-4.0584499999999935,-9.11731999999995,-9.812160416666643,881.6024754166667
2018-04-09,0.08327992875,1.16536267875,1.8460385104171315,2.7589403060890065,184.08756057239674,-4.128407083333343,10.169399999999996,-11.865199999999959,-8.892411666666646,890.16102625
2018-04-10,0.5038153395833334,0.8353672067083333,2.4679132894726847,3.5770063889454056,211.0944490505073,3.470229166666684,9.167320000000018,-2.0334199999999782,-4.233304583333336,888.1172725
2018-04-11,0.11008581083333334,-1.1113128675,2.439627034590466,3.6397398594478054,354.34277957524387,1.978393333333372,7.042439999999999,-1.9323499999999854,-2.605517916666656,880.8543099999999
2018-04-12,-2.756703058333333,1.1294746329166667,2.9923280203912923,3.700094735880896,112.27986265640249,-0.9945124999999848,5.244230000000016,-2.565399999999954,-3.19647916666662,881.1375579166667
2018-04-13,-0.6702283208333334,1.8576825529166667,2.6364286086999766,3.770574129950728,160.1611987749916,0.808571666666694,9.097300000000018,-3.0697999999999865,-4.690374583333323,887.7014033333332
2018-04-14,1.081268307875,1.6866448550833333,2.8664038152232294,4.709933371735672,212.66297625820258,4.751983750000022,9.987700000000018,0.5826700000000073,-4.465198749999956,888.1230620833334
2018-04-15,0.09937222858333333,-0.07927957491666665,1.6881551585934294,3.7389135591551623,308.5830103249912,3.6037112500000035,8.834100000000035,-0.5250599999999963,-2.2364670833333093,885.6474650000001
2018-04-16,0.09244537579166666,-2.97552935,3.1678814135356324,3.6750980253981,358.220475753792,0.6270179166667162,7.572930000000042,-1.144399999999962,-1.4224433333333195,882.1098225000001
2018-04-17,0.6674334166666668,-0.1813748616666667,1.805673844297176,2.7600457877224174,285.20297512757793,-0.2762437499999919,6.236230000000035,-6.092999999999961,-3.2739191666666443,878.1612916666667
2018-04-18,0.24274317291666667,0.5912977854166667,1.8337785907979818,2.6949340537483306,202.31942974025827,1.430485416666727,8.008700000000033,-4.106179999999995,-5.776742916666649,890.9513029166666
2018-04-19,-0.56421471125,1.6331246745833334,2.2485330793005804,4.77437141518181,160.94090483646954,2.9472712500000284,10.636000000000024,-3.67752999999999,-4.650613333333297,894.5538245833334
2018-04-20,1.0097084065833333,0.8709265489166667,2.1587501421993394,3.6963953768639857,229.22050411704637,5.5025329166666666,13.122640000000047,-0.48629999999997153,-2.756876249999948,891.4233820833334
2018-04-21,2.415375366,1.4691751366666665,3.729541247511159,8.648571746997213,238.6895423616911,6.449803750000058,13.02170000000001,2.4471700000000283,-1.5984674999999697,885.7426445833333
2018-04-22,3.5271243991666665,-1.1140842401041666,4.317592083328493,6.817375349670331,287.5293421020108,5.253287499999999,9.523220000000038,0.70052000000004,-7.207470833333275,892.4125279166666
2018-04-23,0.27396518995833335,0.282854734,1.8558474787301067,2.9255509268404474,224.0853594353327,4.7579229166667005,13.350850000000037,-1.7839999999999918,-3.991967916666624,900.528055
2018-04-24,1.6132704416666668,1.6707483933333334,2.7950684353442212,3.5462276014636744,223.99729325613293,8.414156666666656,20.33587,-0.6460999999999899,-4.039268333333325,898.73056125
2018-04-25,1.9490292775,-2.0432084416666667,3.57319200980907,5.345730025283284,316.3513894564226,9.287252083333385,17.50137000000001,5.113800000000026,-2.6758908333333125,893.3584708333334
2018-04-26,0.5143547083333334,0.4384371439583334,2.194272127161527,3.455814977754712,229.55564953618259,9.729416250000043,20.67446000000001,0.28887000000003127,-2.8806299999999396,894.81278375
2018-04-27,-1.5617860169583333,2.40325356875,3.2840924125822624,5.466048258661635,146.98164348118468,12.168586666666727,22.429300000000012,2.417720000000031,-0.007496249999974225,891.8977595833334
2018-04-28,-0.08564186216666665,2.1349124958333334,2.496907615041175,5.132995041237103,177.70281558746763,14.186664166666674,26.350850000000037,1.928670000000011,-0.9760304166666742,881.2913529166667
2018-04-29,2.8189118499999997,-3.6386356379166664,5.112806983033912,7.529618987682596,322.23445750585154,10.975783750000005,24.697780000000023,3.246939999999995,0.39835541666667496,880.5613145833333
2018-04-30,-0.42991066137499995,0.21983465578333328,1.5194807899664975,3.8114162179581808,117.08291451049044,5.106175833333339,13.526270000000011,0.8306500000000483,1.6229900000000157,888.1535725
2018-05-01,1.6858863800000001,-2.0241953775000003,3.8243535826913764,6.179170080459757,320.21018689349705,8.239489583333352,13.83280000000002,4.71470000000005,0.6305583333333402,884.9967537499999
2018-05-02,2.152764645,0.27129618375000003,2.5357079285979807,3.8057250089143997,262.81732298698296,8.981486250000046,19.304470000000038,0.9487500000000182,-2.3698874999999475,886.35125
2018-05-03,2.9777831958333336,-0.25475120208333335,3.209712231354665,5.424702685973226,274.889783427906,12.382841666666707,21.507300000000043,2.3208000000000197,-3.15968666666663,887.1773604166666
2018-05-04,3.0594520625,-0.4348875666666667,3.1506037271953757,5.028801191947605,278.09014383256533,14.187600416666726,21.323270000000036,6.755100000000027,-0.16394166666663068,890.38993625
2018-05-05,0.6467138970833334,-0.7545439476250001,1.6134313909119333,2.8870424309419858,319.40037134466485,13.207481666666695,20.377440000000036,6.360900000000015,3.024537083333371,893.7089275
2018-05-06,0.37534522625000005,1.3646831533333332,2.0088851855116796,3.240683924265162,195.37849011146722,13.851352916666713,23.003800000000012,4.006430000000023,1.7272391666667204,893.4514658333334
2018-05-07,1.4061444652083332,-1.6202557929166668,2.684812316922909,4.221010727901767,319.04681073107486,16.885503750000055,23.0736,10.563559999999995,0.9529354166666621,890.9575483333333
2018-05-08,1.6713765409583334,-1.4263337727083334,2.9123284151225834,5.229078085127611,310.47706549369605,15.783854166666686,22.201440000000048,9.286580000000015,3.7852545833333693,891.9413741666666
2018-05-09,-1.509419125,-1.4547583266666668,2.711867788213896,3.806616449562075,46.05644084367054,10.436307916666692,21.49108000000001,4.415500000000009,0.8480391666666947,892.5711949999999
2018-05-10,-1.9981568666666665,0.5678323104166667,2.1389703934218107,2.9699044986007292,105.86398579611372,4.865860833333329,10.234640000000013,2.39443,3.135538333333386,889.0391020833334
2018-05-11,-0.5272992466666667,-2.49754015125,2.835509991249957,5.210381281687342,11.921633937392357,7.021060833333365,14.922330000000045,3.6319799999999987,3.682922500000018,891.3764870833334
2018-05-12,1.3337402429166667,-0.8413429285,2.37552188351223,3.413150413782422,302.2443307921884,11.747107500000027,22.590419999999995,2.745200000000011,-0.15905249999997295,893.5474770833332
2018-05-13,0.8521041776250001,-1.7242787574999998,2.970828527883363,4.332618522918006,333.70233581497877,15.852714583333352,22.881250000000023,7.016020000000026,-0.10247041666667656,891.52447
2018-05-14,0.20958010604166666,1.0424741086041667,2.4015382444428037,3.088505439658127,191.36727548064147,16.433649583333363,27.63888000000003,6.057980000000043,-1.076361666666628,891.1262720833333
2018-05-15,2.8291861270833336,0.255047485,2.9453107623929053,4.060130495884476,264.84878345383015,19.814201250000053,28.7192,9.971900000000005,-1.4898333333333085,886.8189608333334
2018-05-16,1.3227456354166667,-1.9157568674999998,3.575482916971635,5.037335802447191,325.37663209838627,19.66874416666667,28.12637000000001,11.454830000000015,0.45647000000002436,886.0314766666667
2018-05-17,-0.650585181125,-4.4950892125,4.670467195293857,5.876389074192919,8.235371670341237,11.577317499999992,25.013329999999996,6.307340000000011,4.738767083333357,891.3401575
2018-05-18,-2.644607541666667,-1.1997502554166666,3.658823401142215,4.914313923379435,65.5981480815937,8.181949583333392,14.76278000000002,5.3875000000000455,4.156302083333344,898.9249475
2018-05-19,-0.8784186019583333,3.817095420833333,4.14852455131208,6.513804649103414,167.04029784708484,9.855505416666688,17.110680000000002,2.6367700000000127,1.251249166666696,896.78195
2018-05-20,-0.36096382125,2.9987424125,3.5068299531520974,5.9786317788432,173.136231123044,12.395345416666657,23.856100000000026,3.0741800000000126,2.7282795833333466,888.355775
2018-05-21,2.283834461666667,-1.1130053258333332,2.8418732160408546,4.054688772142186,295.98185529135094,16.4921291666667,23.570400000000006,8.007400000000018,1.6801458333333699,887.1369358333334
2018-05-22,-0.22445043958333333,-0.11883989279166667,1.8671743430654588,2.482398581171576,62.10009921274889,17.80410333333333,25.42593000000005,9.353330000000028,3.3053458333333197,890.1355566666666
2018-05-23,-0.5869299545833333,1.7870114666666668,2.3674146911035288,3.3568957055538156,161.81763800457742,18.378952500000025,26.191900000000032,7.636740000000032,3.189042916666665,888.4497570833332
2018-05-24,1.3434855004166666,0.2696520458333333,2.6130344316632432,5.801158548154623,258.65091357600204,19.250836666666657,27.64703000000003,9.872060000000033,2.638038333333327,883.4589491666667
2018-05-25,1.6706256864166666,-0.23610115329166667,2.1919585692197936,4.519812239395067,278.0440536142021,18.572703333333322,27.26180000000005,8.24648000000002,3.8256445833333714,885.7282495833334
2018-05-26,1.3662026720833333,-1.0539989404166665,3.0819796249351064,6.117514144018467,307.64949163836053,17.852014999999994,27.439940000000036,12.55636000000004,4.814445000000035,883.4891645833334
2018-05-27,0.29406610875,0.2944234433208333,2.6769331797517495,4.2530123723978805,224.96520964527815,16.27346541666668,25.25335000000001,7.246600000000001,4.755605833333334,889.7061729166667
2018-05-28,0.66771634375,1.5983174633333332,2.7997888771041204,4.244421674165499,202.6733197302206,19.614018333333377,29.06970000000001,8.459300000000042,2.5078925000000254,888.7432679166667
2018-05-29,1.1023915533333335,-2.72720974275,3.872148126870494,6.8031020454061135,337.99047731539514,14.625365416666682,28.842600000000004,7.9103300000000445,1.4951662500000111,887.8702975
2018-05-30,-0.08175659587499999,-1.527105341666667,2.0182743779672716,3.0113405007284904,3.0645169293655954,9.631777083333361,14.732500000000016,5.490260000000035,4.949712500000032,884.9852933333333
2018-05-31,-1.5424512119166665,-1.5180314391666665,2.874365602409641,4.1541976658066035,45.457156724416734,7.782426666666709,14.456500000000005,5.415430000000015,4.850759583333343,887.1083975
