date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,era5_u10_mean_ms,era5_v10_mean_ms,era5_wind_speed_mean_ms,era5_wind_speed_max_ms,era5_wind_from_deg,era5_t2m_mean_c,era5_t2m_max_c,era5_t2m_min_c,era5_d2m_mean_c,era5_sp_mean_hpa,fire_count,fire_frp_sum,fire_frp_mean,fire_nearest_km,fire_mean_km,fire_frp_dist_weighted_sum,fire_smoke_transport_index,upwind_fire_count,upwind_fire_frp_sum,upwind_fire_nearest_km
2018-04-01,9.47,1.0,-10.683333333333332,-7.3,-14.5,-15.258333333333333,69.79166666666667,80.0,57.0,0.0,,8.875,18.0,88.69375000000001,27.691666666666666,4.8,-1.2627372772083334,0.5863971689999999,1.937017512496107,3.315147897549179,114.90948277125156,-10.179504583333312,-5.33359999999999,-14.279939999999954,-17.01043708333333,889.9374179166666,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-02,10.2,1.0,-8.945833333333335,-5.4,-11.3,-15.908333333333333,58.0,72.0,42.0,0.0,,10.625,16.0,88.70916666666666,30.641666666666666,11.3,-1.02990214575,-1.0973478991666668,1.6940620655483078,2.8707165909628447,43.18401088734606,-9.516457083333307,-4.05655999999999,-12.765099999999961,-16.194687916666624,885.78514875,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-03,12.8,1.0,-9.141666666666667,-4.4,-14.5,-14.341666666666667,66.95833333333333,81.0,52.0,0.0,,8.708333333333334,19.0,88.79,18.51666666666667,9.7,-1.0901819887500002,1.0176709483333333,1.9333530194429465,3.765237618411732,133.0297776726644,-8.97311499999995,-0.2737799999999879,-16.11731999999995,-17.48363541666663,888.5384916666667,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-04,19.0,1.0,-7.916666666666667,-1.6,-11.7,-12.404166666666667,71.04166666666667,82.0,50.0,0.0,,17.75,40.0,88.89999999999999,11.866666666666667,4.8,-0.8230902379166666,-0.33242669375,2.7294178532836604,5.61108555288818,68.00738182458792,-7.226130416666649,2.2601000000000226,-13.178699999999992,-12.601799999999969,887.2335195833334,10.0,56.870000000000005,5.687,192.53906415972702,318.4990538194244,0.18073673730478024,0.0,0.0,0.0,399.5941996428686
2018-04-05,5.91,1.0,-9.975,-6.7,-13.3,-16.541666666666668,60.458333333333336,82.0,42.0,0.0,,16.041666666666668,25.0,89.83333333333333,24.712500000000002,2.8,0.06731097758333333,-2.2917823770833334,2.555740728037207,4.681377813994574,358.3176733569093,-8.79180041666666,-5.274879999999996,-12.005999999999972,-14.80683124999996,896.2262683333335,2.0,10.43,5.215,298.23032546747885,302.8419037845754,0.03444439220606714,0.00010303756294925359,2.0,10.43,298.23032546747885
2018-04-06,8.79,1.0,-12.604166666666666,-10.4,-15.6,-16.054166666666667,76.0,83.0,65.0,0.0,,25.375,40.0,89.49125,8.683333333333334,2.0,-2.934973408333333,2.1520207770833335,4.238035833225577,6.129121155053958,126.25011728528077,-12.048640833333309,-7.43393999999995,-15.567999999999984,-18.202358333333308,897.44393375,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-07,7.78,1.0,-11.3375,-9.1,-14.1,-13.733333333333334,82.70833333333333,86.0,73.0,0.0,,14.583333333333334,22.0,88.29625,5.391666666666667,1.2,-2.6334775333333336,2.5129597958333334,3.6626571798158847,4.785823181832795,133.6585096734333,-10.44364916666666,-5.300759999999968,-13.00351999999998,-14.057066249999991,886.2967537499999,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2018-04-08,11.9,1.0,-7.020833333333333,-4.8,-9.3,-9.729166666666666,81.125,87.0,75.0,0.0,,11.333333333333334,17.0,88.40458333333333,13.416666666666666,2.0,-1.14000003,-0.08735784104166666,1.5035895978282223,3.289992945133339,85.61800636314075,-7.629083333333313,-4.0584499999999935,-9.11731999999995,-9.812160416666643,881.6024754166667,2.0,9.27,4.635,343.4291265909159,343.61465672416546,0.026897196716684234,0.0,0.0,0.0,399.5941996428686
2018-04-09,19.2,1.0,0.4749999999999999,5.6,-4.9,-4.758333333333334,69.04166666666667,83.0,55.0,0.0,,8.0,21.0,89.0475,18.245833333333334,8.1,0.08327992875,1.16536267875,1.8460385104171315,2.7589403060890065,184.08756057239674,-4.128407083333343,10.169399999999996,-11.865199999999959,-8.892411666666646,890.16102625,1.0,0.61,0.61,399.8433947969414,399.8433947969414,0.001521791322790819,0.0,0.0,0.0,399.5941996428686
2018-04-10,6.47,1.0,3.358333333333333,8.9,-2.5,-3.6999999999999997,61.583333333333336,87.0,43.0,0.0,,9.333333333333334,17.0,88.52541666666667,28.349999999999998,9.7,0.5038153395833334,0.8353672067083333,2.4679132894726847,3.5770063889454056,211.0944490505073,3.470229166666684,9.167320000000018,-2.0334199999999782,-4.233304583333336,888.1172725,3.0,4.96,1.6533333333333333,255.41823053567737,291.3035936997016,0.01632528172629725,0.0,0.0,0.0,399.5941996428686
