model,accuracy,precision,recall,f1,roc_auc,pr_auc
SklearnHistGradientBoosting,0.9746478873239437,0.75,0.46153846153846156,0.5714285714285714,0.9646873594242016,0.6254035841174259
RandomForest,0.9690140845070423,0.75,0.23076923076923078,0.35294117647058826,0.9604138551506972,0.63667591230477
LogisticRegression,0.8253521126760563,0.17333333333333334,1.0,0.29545454545454547,0.9590643274853801,0.582043004333749
