model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
LogisticRegression,0.8479410925422762,0.02199431293040912,0.19028942562338208,0.016154940081899404,0.959047619047619,0.053841120095628824,0.3167257307966528,0.019563891420123734,0.9613829421661692,0.02916250912147958,0.6621219213700197,0.1058022093720769
RandomForest_Improved,0.9645996947928687,0.009399428045399167,0.5175229097278433,0.07034285775142156,0.959047619047619,0.033482658726184646,0.668872794711304,0.05572318703982177,0.990880573996612,0.004773830801952207,0.8252356764274408,0.07218778726372514
HistGradientBoosting_Improved,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
