Model,CV_F1_Mean,CV_F1_Std,Test_F1,F1_Gap,Avg_Gap
RandomForest_Original,0.9870967741935484,0.0158031596308592,0.35294117647058826,0.63415559772296,0.40625931989965236
RandomForest_Improved,0.668872794711304,0.05572318703982177,0.5405405405405406,0.12833225417076344,0.13580387327412233
HistGradientBoosting_Original,1.0,0.0,0.5714285714285714,0.4285714285714286,0.3253884046982679
HistGradientBoosting_Improved,1.0,0.0,0.6666666666666666,0.33333333333333337,0.2584653175975126
