year,pm25_mean,pm25_std,pm25_max,pm25_min,high_pollution_days,total_days,high_pollution_ratio
2024,9.196969696969697,11.377915266047625,134.0,1.24,13,264,0.04924242424242424
2025,6.624615384615385,3.9306457789167712,22.5,0.8,0,91,0.0
