date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,era5_u10_mean_ms,era5_v10_mean_ms,era5_wind_speed_mean_ms,era5_wind_speed_max_ms,era5_wind_from_deg,era5_t2m_mean_c,era5_t2m_max_c,era5_t2m_min_c,era5_d2m_mean_c,era5_sp_mean_hpa,fire_count,fire_frp_sum,fire_frp_mean,fire_nearest_km,fire_mean_km,fire_frp_dist_weighted_sum,fire_smoke_transport_index,upwind_fire_count,upwind_fire_frp_sum,upwind_fire_nearest_km,predicted_label,prediction_probability,year,month,month_name,week,day_of_year,quarter,is_high_pollution
2024-05-11,35.8,1.0,16.55,21.5,10.9,0.1,33.375,51.0,24.0,0.0,,14.125,32.0,88.68708333333332,34.395833333333336,4.0,2.025908794583333,-0.7229245487916667,3.267117707949483,4.433242057063367,289.6384143895902,16.77871333333337,25.13772,7.64572000000004,-1.341111249999983,887.6424437500001,10.0,14.28,1.428,120.79096116137625,269.2966107320834,0.0479201948178388,1.718486129195367e-05,0.0,0.0,399.5941996428686,0,0.0032989789620514335,2024,5,May,19,132,2,1
2024-05-12,52.4,1.0,16.320833333333333,23.9,8.7,2.7291666666666665,42.708333333333336,65.0,20.0,0.0,,17.291666666666668,29.0,88.40291666666667,17.408333333333335,4.0,0.2048670470208333,1.0989163714583332,3.177781103460084,4.390974645211713,190.56022131157425,15.367062916666724,25.118980000000025,6.659660000000031,2.472812500000032,885.5353333333333,5.0,6.0,1.2,256.1116827899431,284.35771205751246,0.0210883290315355,0.0,0.0,0.0,399.5941996428686,0,0.047791327067142036,2024,5,May,19,133,2,1
2024-07-22,34.4,1.0,25.27083333333333,32.0,18.7,13.5875,50.54166666666666,71.0,27.0,0.0,,19.375,34.0,89.21666666666665,10.166666666666666,8.1,-1.6023267159166668,2.837270091666667,3.3941859401568224,5.329000766479607,150.54474096411494,24.33754916666669,32.99270000000001,14.78173000000004,11.981762916666696,894.4635145833333,607.0,3194.5,5.262767710049423,74.15671244617975,224.1789937569285,15.608038980371576,0.0187682088813034,0.0,0.0,399.5941996428686,1,0.7420247351383119,2024,7,Jul,30,204,3,1
2024-07-23,50.3,1.0,25.554166666666664,33.4,16.7,12.283333333333331,49.54166666666666,88.0,13.0,0.0,,13.791666666666666,24.0,88.69708333333334,7.391666666666667,4.8,-0.6120325718333334,2.3673604270833333,3.158760824547608,4.694109641444471,165.50472911561337,25.33383791666671,34.71652,15.762230000000043,11.097026666666691,887.9679804166667,1503.0,45869.28,30.51848303393213,74.36858096803793,278.6421283272776,166.44386701800903,0.0695972401976525,0.0,0.0,399.5941996428686,1,0.990157976305038,2024,7,Jul,30,205,3,1
2024-07-24,134.0,1.0,24.4625,31.9,19.1,12.266666666666666,56.333333333333336,91.0,15.0,0.0,,16.166666666666668,29.0,88.77375,4.233333333333333,1.6,-0.41977755,-0.4102274619583333,2.5321765204540347,4.733810763789839,45.65921962622178,24.4947325,34.085170000000005,16.855430000000013,11.636276666666674,888.8623,2583.0,44438.88,17.204367015098722,74.31783706317896,258.0397863976985,192.58219667728807,0.0004331669862087,3.0,16.54,175.15782210412024,1,0.952900857757596,2024,7,Jul,30,206,3,1
2024-07-25,44.9,1.0,16.587500000000002,20.9,14.3,7.8875,61.0,94.0,27.0,0.0,,22.20833333333333,39.0,88.58,11.0875,3.2,1.3359680075,-0.5860856312499999,3.515596413983985,5.856102679040936,293.68693426455707,21.082105000000013,33.00607000000002,14.908040000000028,6.479528750000043,885.49587,1122.0,21097.98,18.80390374331551,121.12773178240712,165.84401709404574,137.06980273518104,0.5511704076848508,251.0,4600.71,205.98234722711285,1,0.7446286311424254,2024,7,Jul,30,207,3,1
2024-07-29,31.7,1.0,20.6,27.7,11.3,6.495833333333334,42.208333333333336,74.0,23.0,0.0,,12.833333333333334,30.0,88.19833333333332,12.3,8.1,2.524736406666667,0.9665508291666668,2.859982173729559,4.062585936424661,249.05153632728675,19.73413125000002,27.830960000000005,10.395039999999996,4.976108333333343,882.6347987500001,67.0,120.09,1.7923880597014925,76.76904659812831,219.29961462789203,0.5705641548316711,0.0023971815876497,55.0,83.1,76.76904659812831,1,0.6370334112441478,2024,7,Jul,31,211,3,1
2024-08-07,33.6,1.0,13.791666666666666,17.6,11.8,9.995833333333334,79.54166666666667,97.0,48.0,0.0,,11.833333333333334,17.0,89.99333333333334,8.258333333333333,4.8,-0.3474025698333333,-2.04580942625,2.186998193366613,3.70338190776252,9.637564494586002,13.465723333333358,17.235680000000002,10.948050000000023,10.709182500000054,899.5701395833333,99.0,407.98,4.121010101010101,112.16919974439162,332.69449060756324,1.2031726203258728,0.0003225746609697,2.0,9.17,112.16919974439162,1,0.7647919746020907,2024,8,Aug,32,220,3,1
2024-08-14,33.7,1.0,18.441666666666663,23.8,13.4,10.55,60.833333333333336,76.0,43.0,0.0,,7.75,15.0,89.11625,13.1,8.1,1.1536966869583334,-1.1244494124916666,1.9079340751605456,3.0096877558235398,314.2644662544976,17.843679166666675,26.637,11.21096,9.473197500000026,890.0938754166667,26.0,361.42,13.900769230769232,144.5747035213754,258.27361796617805,1.0967326719723578,0.0030609248318876,7.0,334.19,256.15901062790493,0,0.11372797388627923,2024,8,Aug,33,227,3,1
2024-08-15,53.5,1.0,18.541666666666668,25.2,11.9,11.529166666666669,64.91666666666667,85.0,43.0,0.0,,13.416666666666666,30.0,89.30416666666667,7.6375,2.4,-1.514614731,0.9149436890833332,2.0316171193577,4.645004138485357,121.13520210431544,18.09698666666668,25.4778,11.761560000000031,11.70337166666667,893.4694520833333,59.0,250.42,4.244406779661016,74.43944205857491,277.9216866416617,0.9851238866497146,6.713262167333617e-07,1.0,0.04,242.6169741188249,1,0.771455463945297,2024,8,Aug,33,228,3,1
